scorer,,,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051
labeled-data,vid2,img021.png,888.2666724624243,297.17277153123933,717.3428287160466,179.42523472817913,671.7631370503459,445.3067694447666,556.5478053398245,349.0829759282873,452.72739654572854,551.6593833314016,579.3376511726749,659.278099764306,635.0461632085313,607.367895367258,,
labeled-data,vid2,img069.png,927.5158224179902,262.9880027819636,746.4631583014568,136.37774815501717,786.9784397820797,418.71861597310766,641.3766469610914,422.51692361191607,576.8054171013487,332.62364282678413,491.97654650129454,511.14410185077855,741.398748116379,561.7882037015572,616.0545960357019,602.3034851821801
labeled-data,vid2,img206.png,1012.3446930180444,226.27102894014917,832.5581314477804,111.05569722962792,773.0513117731157,376.9372319462154,657.8359800625944,440.2423592596886,614.7884934894325,399.7270777790657,578.0715196476181,487.0881534716588,708.4800819133729,575.7153317105212,757.858081217882,531.4017425910899
labeled-data,vid2,img278.png,817.3649008925468,252.85918241180792,654.037672423786,141.44215834009503,560.3460839998456,403.52538541787413,488.1782388624861,440.2423592596886,424.8731115490129,404.79148796414364,369.1645995131565,503.54748657316185,548.9511610834204,580.779741895599,500.83926432518075,613.6984080986051
labeled-data,vid2,img284.png,805.9699779761218,221.2066187550713,670.4970055252891,131.3133379699393,643.9088520536302,336.42195046559254,518.5646999729532,370.60671921486806,470.45280321471364,337.688053011862,374.22900969823434,479.491538194042,516.0324948804143,597.2390749971021,556.5477763610372,559.2559986090182
labeled-data,vid2,img320.png,843.9530543642056,197.15067037595145,690.7546462656005,86.9997488505081,751.5275684865346,356.67959120590393,614.7884934894325,364.27620648352075,467.9205981221747,330.09143773424523,467.9205981221747,457.96779490746104,662.9003902476722,498.48307638808393,551.4833661759594,535.2000502298984
labeled-data,vid2,img361.png,862.9445925582477,246.52866968046055,692.0207488118699,126.24892778486148,728.7377226536844,376.9372319462154,574.2732120088097,440.2423592596886,522.3630076117616,425.049128704455,670.4970055252891,569.384818979174,536.2901356207258,594.7068699045633,,
labeled-data,vid2,img407.png,928.7819249642598,269.31851551331096,767.9869015880377,156.63538889532862,770.5191066805767,406.05759051041304,629.9817240446662,498.48307638808393,552.7494687222288,489.6203585641977,503.3714694177197,536.466152776168,705.9478768208339,592.1746648120243,574.2732120088097,614.9645106448747
labeled-data,vid2,img500.png,988.2887446389245,246.52866968046055,800.9055677910437,103.45908195201113,831.292028901511,327.5592326417063,707.2139793671035,338.95415555813145,584.4020323789655,303.5032842625865,550.2172636296898,432.6457439820718,681.8919284417141,561.7882037015572,694.5529539044087,516.2085120358565
labeled-data,vid2,img561.png,917.3870020478346,314.89820717901165,737.6004404775706,192.08626019087365,824.9615161701636,419.98471851937717,673.0292106178279,475.6932305552336,529.9596228893785,451.63728217611373,519.8308025192227,536.466152776168,755.325876125343,611.1662030060663,622.3851087670494,631.4238437463778
labeled-data,vid2,img587.png,932.5802326030682,333.8897453730536,751.5275684865346,207.27949074610717,799.6394652447743,457.96779490746104,599.5952629341989,501.01528148062283,536.2901356207258,475.6932305552336,478.0494184923304,561.7882037015572,717.3427997372592,626.3594335612997,599.5952629341989,647.8831768478808
labeled-data,vid2,img643.png,983.2243344538467,344.0185657432093,811.0343881611996,227.53713148641862,822.4293110776248,418.71861597310766,698.3512615432171,435.1779490746107,581.8698272864265,437.7101541671497,731.2699277462232,636.4882539314556,610.9901858506241,658.0119972180364,,
labeled-data,vid2,img704.png,1140.2210501912602,341.4863606506704,955.3700784359185,214.876106023724,946.5073606120322,455.43558981492214,816.0987983462774,471.8949229164252,741.398748116379,449.1050770835748,648.973262238708,538.9983578687068,905.9920791314094,632.6899462926472,832.5581314477804,668.1408175881922
labeled-data,vid2,img751.png,792.0428499671575,257.9235925968858,622.3851087670494,128.7811328774004,662.9003902476722,345.28466828947876,528.693520343109,378.2033344924848,395.75275298481523,375.6711293999459,352.7052664116534,450.37117962984433,502.1053668714502,559.2559986090182,460.3239828445579,565.5865113403656
labeled-data,vid2,img848.png,893.3310536687147,303.5032842625865,735.0682353850316,170.56251690429275,767.9869015880377,384.5338472238322,643.9088520536302,394.6626675939879,551.4833661759594,364.27620648352075,502.1053668714502,473.1610254626947,640.1105444148218,594.7068699045633,629.9817240446662,551.6593833314014
labeled-data,vid2,img872.png,873.0734129284033,292.1083613461613,711.012287005912,165.4981067192149,794.5750550596965,340.22025810440095,655.3037749700554,417.45251342683827,516.0324948804143,408.58979560295194,462.8561879370968,544.0627680537846,657.8359800625944,571.9170240717128,578.0715196476181,606.1017928209883
labeled-data,vid2,img898.png,873.0734129284033,313.6321046327422,695.8190564506783,171.8286194505622,754.0597735790736,344.0185657432093,631.2478265909356,431.3796414358024,510.9680846953365,404.79148796414364,479.31552103859985,536.466152776168,598.3291603879295,625.0933310150303,635.046134229744,582.0458444418687
labeled-data,vid2,img909.png,871.8073103821339,308.56769444766434,733.8021328387622,188.28795255206524,769.2530041343073,363.0101039372513,624.9173138595883,436.4440516208802,519.8308025192227,411.12200069549095,475.51721339979144,527.6034349522815,610.9901858506241,625.0933310150303,637.5783393222829,571.9170240717128
labeled-data,vid2,img932.png,973.0955140836909,300.9710791700475,795.8411576059659,176.89302963564006,816.0987983462774,336.42195046559254,726.2055175611454,365.5423090297902,617.3206985819716,311.09989954020324,589.4664425640433,442.7745643522275,708.4800819133729,593.4407673582937,698.3512615432171,549.1271782388626
labeled-data,vid3,img0193.png,673.8499821603123,204.26249331513463,698.8638287628523,158.08308420275284,668.0775560212646,462.09752752593295,541.0841809622148,442.8561070624405,798.9192151730128,473.64237980402834,660.3809878358676,564.0770559824426,591.111874167295,627.5737435119676,725.8018174117419,637.1944537437138
labeled-data,vid3,img0283.png,471.815067293642,183.09693080529303,525.6910445914207,142.689947831959,531.4634707304685,362.04214111577244,417.93908999586336,369.73870930116937,639.215425326026,388.9801297646618,514.1461923133252,458.24924343323437,454.49778887649876,519.8217889164101,575.718737796501,544.8356355189502
labeled-data,vid3,img0623.png,558.4014593793579,173.4762205735468,631.518857140629,134.99337964656195,562.2497434720564,365.8904252084709,479.51163547903894,296.6213115398982,704.6362549019002,371.66285134751865,596.8843003063425,419.7664025062496,525.6910445914207,458.24924343323437,637.2912832796767,489.0355161748222
labeled-data,vid3,img1390.png,406.3942377177678,79.193260302434,475.6633513863405,90.73811258052945,502.60134003522984,287.000601308152,587.2635900745963,236.97290810307175,587.2635900745963,290.84888540085046,758.5122321996789,288.9247433545013,556.4773173330086,363.9662831621216,550.7048911939607,388.9801297646618
labeled-data,vid3,img1417.png,277.47672061236864,86.88982848783098,340.9734081418936,106.13124895132341,379.45624906887844,300.4695956325967,487.20820366443587,283.15231721545354,460.2702150155465,331.2558683741845,675.7741242066616,356.2697149767248,458.3460729691974,396.6766979500588,446.8012206911019,417.8422604599004
labeled-data,vid3,img1432.png,435.2563684130065,171.5520785271976,491.0564877571345,163.85551034180068,537.2358968695162,396.67669795005884,614.2015787234859,350.49728883767705,589.1877321209457,400.5249820427573,775.8295106168222,421.690544552599,562.2497434720564,458.2492434332346,537.2358968695162,489.0355161748224
labeled-data,vid3,img2056.png,221.6766012682407,225.42805582497638,281.32500470506716,200.41420922243623,296.7181410758611,388.98012976466185,408.31837976411714,373.5869933938679,391.0011013469739,419.7664025062497,639.215425326026,465.9458116186315,371.75968088348156,492.8838002675208,367.911396790783,542.9114934726011
labeled-data,vid3,img2331.png,281.32500470506716,213.8832035468809,333.2768399564967,173.47622057354687,391.0011013469739,394.7525559037095,498.75305594253143,373.58699339386794,469.8909252472928,435.15953887704364,691.1672605774555,467.8699536649807,437.1805104593557,483.2630900357746,408.31837976411714,542.9114934726011
labeled-data,vid3,img2695.png,106.22807848728627,148.46237397100666,146.6350614606203,119.60024327576812,246.69044787078087,312.01444791069224,331.3526979101474,273.5316069837074,356.3665445126876,335.10415246688314,514.1461923133253,427.46297069164666,292.86985698316266,381.2835615792648,289.0215728904642,410.14569227450346
labeled-data,vid3,img2732.png,466.0426411545943,58.02769779259247,523.7669025450715,27.241425051004605,569.9463116574533,200.41420922243626,652.6844196504707,181.17278875894385,689.2431185311062,225.42805582497647,804.6916413120608,367.8145672548202,604.5808684917397,331.2558683741846,621.8981469088828,342.8007206522801
labeled-data,vid3,img2836.png,462.19435706189586,208.11077740783318,491.0564877571345,181.17278875894382,517.9944764060239,350.49728883767705,569.9463116574533,394.75255590370955,631.518857140629,396.67669795005884,731.5742435507897,460.17338547958377,544.9324650549132,458.2492434332346,560.3256014257071,465.9458116186315
labeled-data,vid3,img3212.png,556.4773173330086,188.86935694434086,571.8704537038026,156.15894215640378,562.2497434720564,313.9385899570415,475.66335138634054,350.497288837677,643.0637094187244,331.2558683741846,464.11849910824503,417.8422604599004,544.9324650549132,450.55267524783756,604.5808684917397,448.6285332014884
labeled-data,vid3,img3293.png,500.6771979888806,194.6417830833885,548.7807491476117,173.4762205735469,585.3394480282473,329.33172632783544,487.2082036644359,354.34557293037545,679.62240829936,358.193857023074,506.44962412792836,442.8561070624406,548.7807491476117,483.26309003577467,633.4429991869782,502.5045104992671
labeled-data,vid3,img3467.png,806.6157833584099,215.80734559323028,835.4779140536485,192.71764103703939,798.919215173013,419.76640250624973,691.1672605774555,367.8145672548202,891.2780333977765,394.7525559037096,635.3671412333275,433.2353968306944,716.1811071799956,496.73208436021935,789.2985049412667,529.4424991481565
labeled-data,vid3,img3638.png,404.47009567141856,173.47622057354687,514.1461923133253,117.67610122941889,637.2912832796768,608.3323230484754,475.66335138634054,490.95965822117154,918.2160220466659,664.1324423926033,868.1883288415858,708.3877094586358,629.5947150942798,712.2359935513342,702.712112855551,718.008419690382
labeled-data,vid3,img3823.png,504.5254820815792,327.40758428148615,577.6428798428503,308.1661638179937,673.8499821603124,604.4840389557769,829.7054879146009,564.0770559824427,787.3743628949175,650.6634480681587,1045.2093971057157,646.8151639754601,729.6501015044404,675.6772946706988,729.6501015044404,696.8428571805405
labeled-data,vid3,img4060.png,583.415305981898,250.44190242751654,598.8084423526919,223.50391377862718,608.4291525844382,413.993976367202,529.5393286841193,394.75255590370955,691.1672605774555,429.38711273799595,664.2292719285662,496.73208436021935,583.415305981898,496.73208436021935,654.60856169682,519.8217889164102
labeled-data,vid3,img4200.png,460.27021501554657,202.33835126878554,502.6013400352299,185.0210728516423,562.2497434720564,360.11799906942326,643.0637094187244,360.11799906942326,635.3671412333275,404.37326613545576,704.6362549019001,444.7802491087898,575.718737796501,464.02166957228224,614.2015787234859,473.64237980402845
labeled-data,vid3,img4531.png,593.0360162136442,179.24864671259468,537.2358968695162,171.5520785271976,519.918618452373,385.13184567196345,396.77352748602164,396.6766979500588,571.8704537038026,381.28356157926487,417.93908999586324,442.85610706244057,454.49778887649893,487.1113741284731,550.704891193961,479.4148059430762
labeled-data,vid3,img4590.png,467.9667832009436,263.91089675196116,481.4357775253883,225.42805582497644,479.511635479039,400.52498204275724,383.30453316157696,439.0078229697421,560.3256014257071,442.8561070624406,402.5459536250694,521.7459309627594,423.711516134911,558.304629843395,544.9324650549132,556.3804877970457
