scorer,,,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051
labeled-data,vid3,img2695.png,106.22807848728627,148.46237397100666,146.6350614606203,119.60024327576812,246.69044787078087,312.01444791069224,331.3526979101474,273.5316069837074,356.3665445126876,335.10415246688314,514.1461923133253,427.46297069164666,292.86985698316266,381.2835615792648,289.0215728904642,410.14569227450346
labeled-data,vid3,img2732.png,466.0426411545943,58.02769779259247,523.7669025450715,27.241425051004605,569.9463116574533,200.41420922243626,652.6844196504707,181.17278875894385,689.2431185311062,225.42805582497647,804.6916413120608,367.8145672548202,604.5808684917397,331.2558683741846,621.8981469088828,342.8007206522801
labeled-data,vid3,img2836.png,462.19435706189586,208.11077740783318,491.0564877571345,181.17278875894382,517.9944764060239,350.49728883767705,569.9463116574533,394.75255590370955,631.518857140629,396.67669795005884,731.5742435507897,460.17338547958377,544.9324650549132,458.2492434332346,560.3256014257071,465.9458116186315
labeled-data,vid3,img3212.png,556.4773173330086,188.86935694434086,571.8704537038026,156.15894215640378,562.2497434720564,313.9385899570415,475.66335138634054,350.497288837677,643.0637094187244,331.2558683741846,464.11849910824503,417.8422604599004,544.9324650549132,450.55267524783756,604.5808684917397,448.6285332014884
labeled-data,vid3,img3293.png,500.6771979888806,194.6417830833885,548.7807491476117,173.4762205735469,585.3394480282473,329.33172632783544,487.2082036644359,354.34557293037545,679.62240829936,358.193857023074,506.44962412792836,442.8561070624406,548.7807491476117,483.26309003577467,633.4429991869782,502.5045104992671
labeled-data,vid3,img3467.png,806.6157833584099,215.80734559323028,835.4779140536485,192.71764103703939,798.919215173013,419.76640250624973,691.1672605774555,367.8145672548202,891.2780333977765,394.7525559037096,635.3671412333275,433.2353968306944,716.1811071799956,496.73208436021935,789.2985049412667,529.4424991481565
labeled-data,vid3,img3638.png,404.47009567141856,173.47622057354687,514.1461923133253,117.67610122941889,637.2912832796768,608.3323230484754,475.66335138634054,490.95965822117154,918.2160220466659,664.1324423926033,868.1883288415858,708.3877094586358,629.5947150942798,712.2359935513342,702.712112855551,718.008419690382
labeled-data,vid3,img3823.png,504.5254820815792,327.40758428148615,577.6428798428503,308.1661638179937,673.8499821603124,604.4840389557769,829.7054879146009,564.0770559824427,787.3743628949175,650.6634480681587,1045.2093971057157,646.8151639754601,729.6501015044404,675.6772946706988,729.6501015044404,696.8428571805405
labeled-data,vid3,img4060.png,583.415305981898,250.44190242751654,598.8084423526919,223.50391377862718,608.4291525844382,413.993976367202,529.5393286841193,394.75255590370955,691.1672605774555,429.38711273799595,664.2292719285662,496.73208436021935,583.415305981898,496.73208436021935,654.60856169682,519.8217889164102
labeled-data,vid3,img4200.png,460.27021501554657,202.33835126878554,502.6013400352299,185.0210728516423,562.2497434720564,360.11799906942326,643.0637094187244,360.11799906942326,635.3671412333275,404.37326613545576,704.6362549019001,444.7802491087898,575.718737796501,464.02166957228224,614.2015787234859,473.64237980402845
labeled-data,vid3,img4531.png,593.0360162136442,179.24864671259468,537.2358968695162,171.5520785271976,519.918618452373,385.13184567196345,396.77352748602164,396.6766979500588,571.8704537038026,381.28356157926487,417.93908999586324,442.85610706244057,454.49778887649893,487.1113741284731,550.704891193961,479.4148059430762
labeled-data,vid3,img4590.png,467.9667832009436,263.91089675196116,481.4357775253883,225.42805582497644,479.511635479039,400.52498204275724,383.30453316157696,439.0078229697421,560.3256014257071,442.8561070624406,402.5459536250694,521.7459309627594,423.711516134911,558.304629843395,544.9324650549132,556.3804877970457
